,Metric,Logistic_Regession,Random_forest,RF_Tuned,XGB,XGB_Tuned,SVM,Extra_Trees
0,Recall_train,0.7527230718450875,0.9980745956650896,0.8241830784464738,0.854604466938057,0.8832104741995819,0.6829134118164815,0.9877324238089998
1,Recall,0.746141802728696,0.8036233504808767,0.8047416685305301,0.7928874972042049,0.8013867143815702,0.6835159919481101,0.8239767389845672
2,Precision_train,0.59,0.98,0.920892494929006,0.959,0.978,0.605,0.996
3,Precision,0.576,0.795,0.8954703832752613,0.915,0.913,0.592,0.902
4,Accuracy_train,0.6140515480986809,0.9887411005022352,0.8762900822341189,0.9088801810254428,0.9316739334400354,0.6174733704950605,0.991804183453833
5,Accuracy,0.6038631346578367,0.8005518763796909,0.8572847682119206,0.8614790286975718,0.8642384105960265,0.6115894039735099,0.8690949227373068
6,F1_score,0.6502290225124256,0.7990659401756922,0.8476852397219932,0.8496105452366687,0.8535016674606957,0.6346173813726508,0.861351414542904
7,ROC_AUC_score,0.6595539136769591,0.8759546461472567,0.9245589808347724,0.9235542248272066,0.9300201453213972,0.66201362851731,0.927859176634254
8,KS_statistic,0.2356626337844931,0.604763932539468,0.7155279618747368,0.7247965740720117,0.7326714437132663,0.2390725168696901,0.7410313646175477
